Date,Order_ID,Customer_ID,Category,Product,Quantity,Price,Revenue,Region
2024-04-08,ORD03264,CUST2295,Sports,Bicycle,1,6384.01,6384.01,West
2024-04-08,ORD00372,CUST2233,Clothing,Jeans,3,1019.31,3057.94,North
2024-04-10,ORD03224,CUST1091,Sports,Running Shoes,2,6362.0,12724.01,West
2024-04-10,ORD02517,CUST2032,Electronics,Smartwatch,1,12977.31,12977.31,South
2024-04-11,ORD03471,CUST2525,Clothing,T-Shirt,1,1978.41,1978.41,West
2024-04-11,ORD01747,CUST1544,Sports,Running Shoes,1,7177.54,7177.54,Central
2024-04-11,ORD03690,CUST1103,Sports,Bicycle,2,2961.55,5923.09,West
2024-04-11,ORD02686,CUST1855,Sports,Running Shoes,2,3465.74,6931.48,East
2024-04-12,ORD00883,CUST2052,Home & Kitchen,Blender,1,4062.36,4062.36,South
2024-04-13,ORD04552,CUST1416,Books,Fiction,2,724.27,1448.54,Central
2024-04-13,ORD00641,CUST1840,Clothing,Jacket,2,813.41,1626.81,West
2024-04-14,ORD00011,CUST2549,Books,Textbook,1,352.94,352.94,South
2024-04-15,ORD04235,CUST1437,Sports,Running Shoes,2,2105.43,4210.87,West
2024-04-15,ORD01814,CUST2366,Electronics,Headphones,1,8018.52,8018.52,South
2024-04-16,ORD01050,CUST1005,Home & Kitchen,Cookware,5,2743.07,13715.37,North
2024-04-17,ORD02019,CUST2949,Clothing,Dress,2,1120.11,2240.23,North
2024-04-18,ORD03162,CUST1848,Sports,Bicycle,2,770.48,1540.95,North
2024-04-18,ORD04327,CUST1861,Electronics,Smartwatch,1,23698.61,23698.61,Central
2024-04-18,ORD01203,CUST1675,Sports,Tennis Racket,4,952.34,3809.38,West
2024-04-19,ORD00926,CUST1274,Electronics,Tablet,3,28518.13,85554.4,South
2024-04-19,ORD03413,CUST1244,Home & Kitchen,Blender,1,1860.83,1860.83,South
2024-04-19,ORD04520,CUST2802,Clothing,Jeans,2,1836.29,3672.58,South
2024-04-21,ORD00378,CUST1815,Electronics,Laptop,1,33667.8,33667.8,South
2024-04-21,ORD02422,CUST1438,Home & Kitchen,Cookware,2,13878.62,27757.24,Central
2024-04-22,ORD01577,CUST1398,Clothing,Jeans,1,1263.47,1263.47,Central
2024-04-22,ORD03951,CUST2254,Home & Kitchen,Coffee Maker,2,10058.49,20116.98,South
2024-04-22,ORD04508,CUST2186,Home & Kitchen,Air Fryer,2,3337.81,6675.62,South
2024-04-22,ORD02720,CUST1993,Clothing,Dress,1,3132.47,3132.47,West
2024-04-23,ORD01971,CUST2308,Electronics,Smartphone,1,65907.63,65907.63,South
2024-04-23,ORD00238,CUST1117,Clothing,Jeans,2,4050.25,8100.51,Central
2024-04-23,ORD04418,CUST1051,Clothing,T-Shirt,2,3798.71,7597.42,North
2024-04-24,ORD01048,CUST2938,Books,Textbook,2,1534.73,3069.46,East
2024-04-24,ORD01202,CUST2839,Electronics,Headphones,1,32587.42,32587.42,Central
2024-04-25,ORD04487,CUST1037,Electronics,Laptop,1,24150.76,24150.76,West
2024-04-25,ORD02976,CUST2487,Books,Biography,2,1995.22,3990.44,Central
2024-04-25,ORD03669,CUST2966,Home & Kitchen,Air Fryer,3,4341.99,13025.98,East
2024-04-26,ORD01503,CUST2066,Books,Non-Fiction,2,563.63,1127.26,South
2024-04-26,ORD02398,CUST1529,Electronics,Smartphone,1,51145.19,51145.19,West
2024-04-26,ORD00099,CUST1737,Clothing,T-Shirt,2,1060.76,2121.52,South
2024-04-26,ORD00313,CUST2364,Electronics,Smartwatch,1,72643.22,72643.22,North
2024-04-26,ORD04889,CUST1531,Home & Kitchen,Blender,1,14502.98,14502.98,West
2024-04-26,ORD00875,CUST2743,Home & Kitchen,Blender,4,3897.81,15591.23,Central
2024-04-27,ORD04197,CUST2987,Clothing,Shoes,1,4847.94,4847.94,East
2024-04-27,ORD01697,CUST1654,Clothing,T-Shirt,1,2033.04,2033.04,West
2024-04-27,ORD03926,CUST1684,Sports,Tennis Racket,4,9893.16,39572.63,East
2024-04-28,ORD00902,CUST2780,Electronics,Smartphone,1,69439.18,69439.18,West
2024-04-28,ORD01970,CUST2690,Clothing,Dress,1,3512.74,3512.74,Central
2024-04-28,ORD00357,CUST1801,Sports,Yoga Mat,3,8189.56,24568.68,East
2024-04-28,ORD00516,CUST2220,Clothing,T-Shirt,3,2872.94,8618.82,East
2024-04-30,ORD00879,CUST2789,Electronics,Smartwatch,3,17699.89,53099.67,Central
2024-04-30,ORD02081,CUST2416,Home & Kitchen,Vacuum,1,14099.41,14099.41,North
2024-05-01,ORD02414,CUST1657,Clothing,Jeans,3,1015.96,3047.88,South
2024-05-01,ORD04100,CUST1918,Home & Kitchen,Vacuum,2,14108.32,28216.64,West
2024-05-03,ORD03963,CUST1117,Home & Kitchen,Air Fryer,2,13450.66,26901.32,West
2024-05-03,ORD00558,CUST1989,Sports,Dumbbells,1,1625.39,1625.39,South
2024-05-04,ORD01160,CUST2482,Clothing,Dress,2,3300.42,6600.84,South
2024-05-04,ORD02830,CUST2283,Home & Kitchen,Cookware,1,9602.29,9602.29,Central
2024-05-06,ORD03504,CUST2800,Clothing,Jeans,2,2239.16,4478.32,North
2024-05-06,ORD01436,CUST2242,Books,Fiction,2,957.06,1914.13,Central
2024-05-06,ORD03696,CUST2800,Electronics,Tablet,1,30388.53,30388.53,North
2024-05-07,ORD00291,CUST2263,Home & Kitchen,Vacuum,1,14586.14,14586.14,South
2024-05-07,ORD01340,CUST1168,Books,Fiction,1,449.2,449.2,West
2024-05-07,ORD01455,CUST2463,Sports,Tennis Racket,2,2136.07,4272.15,East
2024-05-07,ORD03655,CUST1770,Books,Biography,1,1934.82,1934.82,Central
2024-05-08,ORD00975,CUST1912,Clothing,Shoes,1,3493.1,3493.1,East
2024-05-08,ORD03383,CUST1206,Books,Comics,3,1820.17,5460.52,Central
2024-05-08,ORD01234,CUST2392,Home & Kitchen,Air Fryer,2,9959.03,19918.06,South
2024-05-08,ORD02419,CUST2377,Sports,Yoga Mat,1,9778.28,9778.28,East
2024-05-09,ORD00101,CUST2358,Clothing,Jeans,2,4548.84,9097.69,West
2024-05-09,ORD01301,CUST1245,Electronics,Laptop,1,34759.47,34759.47,East
2024-05-10,ORD03489,CUST2018,Clothing,Dress,2,3298.44,6596.87,South
2024-05-11,ORD01248,CUST2021,Electronics,Tablet,5,28373.83,141869.16,West
2024-05-11,ORD03842,CUST1389,Books,Biography,2,984.51,1969.03,South
2024-05-11,ORD03795,CUST2146,Home & Kitchen,Blender,3,3652.93,10958.79,North
2024-05-12,ORD02183,CUST2282,Books,Textbook,2,453.5,907.0,South
2024-05-13,ORD00765,CUST1269,Electronics,Smartphone,2,59921.79,119843.59,South
2024-05-13,ORD01289,CUST1996,Electronics,Headphones,1,72766.95,72766.95,North
2024-05-13,ORD02011,CUST2180,Clothing,Jeans,1,4326.63,4326.63,North
2024-05-13,ORD03385,CUST1732,Electronics,Smartphone,1,8081.58,8081.58,Central
2024-05-14,ORD01020,CUST1160,Sports,Tennis Racket,1,6413.9,6413.9,Central
2024-05-15,ORD04011,CUST1733,Books,Textbook,1,714.83,714.83,South
2024-05-15,ORD02242,CUST1348,Sports,Bicycle,1,8004.16,8004.16,West
2024-05-15,ORD00043,CUST2359,Home & Kitchen,Air Fryer,1,4395.62,4395.62,West
2024-05-16,ORD03664,CUST2284,Home & Kitchen,Vacuum,2,2122.01,4244.01,West
2024-05-17,ORD01904,CUST2680,Home & Kitchen,Blender,1,7967.03,7967.03,North
2024-05-17,ORD04743,CUST1859,Electronics,Smartwatch,1,56101.74,56101.74,North
2024-05-18,ORD01651,CUST2570,Electronics,Tablet,2,26903.42,53806.83,Central
2024-05-18,ORD00286,CUST2067,Books,Comics,1,273.95,273.95,West
2024-05-18,ORD02859,CUST1773,Electronics,Smartwatch,3,41710.0,125130.0,North
2024-05-19,ORD00857,CUST2891,Home & Kitchen,Vacuum,3,6732.27,20196.81,North
2024-05-19,ORD02298,CUST1033,Electronics,Headphones,2,53655.01,107310.02,East
2024-05-19,ORD00629,CUST1774,Electronics,Smartphone,3,70620.46,211861.37,Central
2024-05-19,ORD01403,CUST2772,Electronics,Smartphone,2,77710.46,155420.92,Central
2024-05-20,ORD00146,CUST1513,Home & Kitchen,Blender,1,6946.97,6946.97,West
2024-05-20,ORD01031,CUST1441,Clothing,Shoes,2,3252.09,6504.19,Central
2024-05-21,ORD00292,CUST1395,Clothing,Jacket,2,2409.67,4819.35,Central
2024-05-21,ORD02900,CUST1349,Electronics,Laptop,1,74365.56,74365.56,North
2024-05-23,ORD01781,CUST2753,Home & Kitchen,Cookware,2,10432.51,20865.02,North
2024-05-24,ORD01417,CUST2561,Clothing,Jeans,2,3417.68,6835.36,South
2024-05-24,ORD02418,CUST1087,Electronics,Laptop,2,33469.52,66939.05,West
2024-05-24,ORD00611,CUST1408,Electronics,Laptop,1,23163.76,23163.76,South
2024-05-24,ORD01014,CUST2855,Clothing,Shoes,1,1163.86,1163.86,North
2024-05-24,ORD03424,CUST1834,Home & Kitchen,Cookware,5,9030.07,45150.33,Central
2024-05-24,ORD03911,CUST2997,Home & Kitchen,Air Fryer,3,8398.75,25196.24,South
2024-05-24,ORD03960,CUST1099,Home & Kitchen,Cookware,2,9379.08,18758.17,Central
2024-05-24,ORD04980,CUST2296,Clothing,Jeans,1,3804.15,3804.15,West
2024-05-24,ORD04748,CUST1158,Books,Comics,1,905.63,905.63,West
2024-05-24,ORD03389,CUST2425,Clothing,Jeans,2,1998.67,3997.35,Central
2024-05-24,ORD02858,CUST1988,Sports,Tennis Racket,3,4035.5,12106.49,Central
2024-05-25,ORD01274,CUST1581,Books,Fiction,1,560.12,560.12,Central
2024-05-25,ORD02468,CUST2304,Home & Kitchen,Coffee Maker,2,4321.94,8643.89,West
2024-05-25,ORD04839,CUST2364,Books,Comics,4,1858.93,7435.73,South
2024-05-26,ORD04318,CUST2269,Home & Kitchen,Cookware,1,2726.4,2726.4,South
2024-05-26,ORD04058,CUST2701,Home & Kitchen,Cookware,3,7213.7,21641.1,East
2024-05-26,ORD03638,CUST1779,Sports,Bicycle,2,3820.09,7640.18,North
2024-05-26,ORD03968,CUST2971,Books,Non-Fiction,2,801.48,1602.97,North
2024-05-26,ORD01350,CUST1310,Sports,Yoga Mat,3,3573.53,10720.6,South
2024-05-26,ORD03410,CUST2998,Clothing,Dress,2,598.74,1197.47,East
2024-05-27,ORD00169,CUST1726,Home & Kitchen,Vacuum,1,11673.06,11673.06,East
2024-05-27,ORD00336,CUST2071,Books,Comics,1,222.64,222.64,Central
2024-05-27,ORD00600,CUST1515,Home & Kitchen,Cookware,1,13041.03,13041.03,East
2024-05-28,ORD01423,CUST2879,Books,Comics,1,1278.52,1278.52,Central
2024-05-28,ORD04217,CUST1743,Electronics,Laptop,1,70453.84,70453.84,East
2024-05-29,ORD01827,CUST2647,Electronics,Headphones,2,76404.38,152808.76,West
2024-05-29,ORD02204,CUST2851,Electronics,Smartphone,3,19683.79,59051.36,West
2024-05-29,ORD03875,CUST2287,Clothing,Shoes,1,3654.08,3654.08,North
2024-05-29,ORD01795,CUST1461,Books,Comics,1,325.27,325.27,North
2024-05-29,ORD01073,CUST1368,Home & Kitchen,Coffee Maker,1,2976.32,2976.32,West
2024-05-30,ORD02940,CUST2283,Electronics,Smartwatch,1,42720.05,42720.05,West
2024-05-31,ORD04844,CUST1020,Electronics,Smartphone,2,42350.02,84700.04,North
2024-05-31,ORD00473,CUST2194,Electronics,Smartwatch,2,27862.86,55725.73,West
2024-05-31,ORD01867,CUST1773,Clothing,Jacket,2,4501.78,9003.57,North
2024-06-01,ORD02777,CUST2357,Home & Kitchen,Coffee Maker,3,1362.96,4088.89,South
2024-06-01,ORD01549,CUST1437,Clothing,Shoes,2,3729.75,7459.5,West
2024-06-01,ORD02366,CUST1146,Home & Kitchen,Vacuum,2,6049.38,12098.75,West
2024-06-02,ORD04390,CUST1004,Electronics,Smartwatch,2,75857.13,151714.26,Central
2024-06-03,ORD02838,CUST1526,Clothing,Jacket,1,3853.18,3853.18,North
2024-06-03,ORD04090,CUST2652,Electronics,Smartphone,2,36768.3,73536.61,South
2024-06-04,ORD04394,CUST1207,Home & Kitchen,Vacuum,3,6801.98,20405.94,North
2024-06-04,ORD02284,CUST2123,Electronics,Laptop,1,26774.05,26774.05,North
2024-06-04,ORD00515,CUST2052,Home & Kitchen,Cookware,1,3037.95,3037.95,East
2024-06-04,ORD00059,CUST1445,Books,Fiction,2,401.48,802.96,Central
2024-06-04,ORD00348,CUST2545,Clothing,Jeans,1,567.6,567.6,South
2024-06-04,ORD00487,CUST1247,Electronics,Smartwatch,2,35273.5,70547.0,Central
2024-06-05,ORD00335,CUST1104,Electronics,Tablet,1,72745.52,72745.52,South
2024-06-05,ORD01195,CUST2451,Sports,Bicycle,3,5910.36,17731.09,North
2024-06-06,ORD00030,CUST2798,Electronics,Smartphone,1,68372.81,68372.81,West
2024-06-07,ORD02607,CUST1624,Clothing,Jeans,1,1190.74,1190.74,West
2024-06-07,ORD04677,CUST2606,Sports,Running Shoes,1,4225.37,4225.37,Central
2024-06-07,ORD00958,CUST1508,Books,Fiction,3,596.44,1789.32,West
2024-06-09,ORD02232,CUST1731,Clothing,Dress,3,3719.53,11158.59,Central
2024-06-09,ORD01466,CUST2973,Electronics,Smartwatch,2,36898.11,73796.22,Central
2024-06-09,ORD02645,CUST1620,Home & Kitchen,Vacuum,1,12706.7,12706.7,South
2024-06-09,ORD04342,CUST2290,Books,Biography,2,942.46,1884.91,Central
2024-06-10,ORD04388,CUST1839,Sports,Dumbbells,2,7704.69,15409.38,North
2024-06-10,ORD04564,CUST2668,Sports,Yoga Mat,2,4475.91,8951.83,South
2024-06-11,ORD03672,CUST1668,Books,Non-Fiction,4,1080.8,4323.18,Central
2024-06-11,ORD04925,CUST1752,Clothing,Dress,2,1363.12,2726.24,Central
2024-06-12,ORD04108,CUST2626,Books,Biography,2,483.18,966.36,West
2024-06-12,ORD02563,CUST2935,Home & Kitchen,Cookware,2,9813.83,19627.65,Central
2024-06-12,ORD03663,CUST2417,Sports,Bicycle,4,8940.28,35761.13,West
2024-06-12,ORD02781,CUST1227,Home & Kitchen,Cookware,1,1615.12,1615.12,South
2024-06-12,ORD03809,CUST1706,Books,Fiction,2,1345.0,2690.0,North
2024-06-13,ORD03959,CUST2890,Sports,Tennis Racket,1,7035.92,7035.92,West
2024-06-13,ORD03979,CUST1332,Home & Kitchen,Blender,1,2146.67,2146.67,East
2024-06-14,ORD00301,CUST2692,Electronics,Laptop,2,23776.9,47553.81,East
2024-06-14,ORD00978,CUST1871,Sports,Yoga Mat,1,9493.73,9493.73,West
2024-06-14,ORD04373,CUST1907,Books,Biography,1,1506.16,1506.16,West
2024-06-14,ORD00149,CUST2129,Home & Kitchen,Cookware,2,5345.19,10690.38,South
2024-06-14,ORD02987,CUST1182,Electronics,Laptop,1,50679.96,50679.96,East
2024-06-14,ORD03994,CUST1628,Home & Kitchen,Coffee Maker,2,1368.27,2736.54,North
2024-06-14,ORD04952,CUST2022,Clothing,T-Shirt,2,858.65,1717.3,East
2024-06-14,ORD02330,CUST2239,Clothing,Shoes,1,3843.43,3843.43,West
2024-06-15,ORD00702,CUST2710,Books,Non-Fiction,2,1573.04,3146.08,East
2024-06-15,ORD02024,CUST2790,Electronics,Laptop,4,58047.07,232188.26,North
2024-06-15,ORD01303,CUST1357,Electronics,Tablet,3,26167.14,78501.43,South
2024-06-15,ORD03010,CUST1974,Home & Kitchen,Blender,5,13033.95,65169.73,South
2024-06-15,ORD03488,CUST2306,Home & Kitchen,Vacuum,3,9056.54,27169.61,Central
2024-06-15,ORD02065,CUST2786,Clothing,Shoes,1,1000.47,1000.47,South
2024-06-16,ORD03810,CUST2499,Sports,Dumbbells,2,9711.07,19422.14,South
2024-06-16,ORD02654,CUST2121,Electronics,Laptop,4,44801.61,179206.44,Central
2024-06-17,ORD03450,CUST2215,Electronics,Headphones,1,62756.78,62756.78,East
2024-06-18,ORD04746,CUST2077,Books,Fiction,1,381.5,381.5,West
2024-06-18,ORD04651,CUST2296,Electronics,Laptop,2,51574.11,103148.22,East
2024-06-19,ORD02906,CUST1895,Electronics,Laptop,2,11930.11,23860.21,East
2024-06-19,ORD00819,CUST1119,Electronics,Laptop,1,55395.79,55395.79,East
2024-06-19,ORD04722,CUST2719,Sports,Running Shoes,5,7314.39,36571.93,North
2024-06-19,ORD04336,CUST1175,Books,Biography,2,1023.79,2047.58,Central
2024-06-19,ORD02602,CUST2194,Sports,Yoga Mat,1,787.63,787.63,West
2024-06-21,ORD03744,CUST2118,Home & Kitchen,Coffee Maker,1,12213.51,12213.51,North
2024-06-21,ORD04892,CUST1774,Electronics,Smartphone,4,26843.64,107374.57,North
2024-06-22,ORD00459,CUST1016,Sports,Bicycle,1,8382.11,8382.11,Central
2024-06-22,ORD03025,CUST2933,Home & Kitchen,Blender,1,8448.25,8448.25,Central
2024-06-22,ORD00529,CUST2626,Electronics,Smartwatch,2,79751.25,159502.49,West
2024-06-22,ORD04010,CUST2394,Books,Comics,4,533.78,2135.1,South
2024-06-22,ORD03165,CUST1678,Electronics,Tablet,3,34911.61,104734.84,North
2024-06-23,ORD01999,CUST2760,Electronics,Headphones,1,43776.1,43776.1,Central
2024-06-23,ORD04210,CUST1009,Electronics,Headphones,1,30087.98,30087.98,South
2024-06-23,ORD03563,CUST1891,Home & Kitchen,Blender,1,14324.94,14324.94,West
2024-06-23,ORD01414,CUST2967,Electronics,Smartwatch,2,45130.53,90261.06,West
2024-06-23,ORD04237,CUST2889,Home & Kitchen,Air Fryer,5,11382.48,56912.4,North
2024-06-24,ORD02733,CUST2155,Clothing,Jeans,2,1235.98,2471.97,North
2024-06-24,ORD01101,CUST1220,Books,Textbook,2,677.98,1355.96,North
2024-06-24,ORD02449,CUST1148,Books,Non-Fiction,2,223.36,446.72,South
2024-06-24,ORD01717,CUST1254,Books,Comics,1,1731.05,1731.05,West
2024-06-24,ORD00007,CUST2108,Clothing,Shoes,2,1285.65,2571.31,North
2024-06-24,ORD03234,CUST1672,Clothing,Dress,1,3078.82,3078.82,North
2024-06-24,ORD00425,CUST1537,Clothing,Dress,1,3873.77,3873.77,Central
2024-06-24,ORD02678,CUST2467,Home & Kitchen,Coffee Maker,2,13994.46,27988.93,East
2024-06-25,ORD01715,CUST1467,Books,Fiction,1,651.45,651.45,North
2024-06-25,ORD01941,CUST1163,Electronics,Smartwatch,1,38907.01,38907.01,North
2024-06-25,ORD04284,CUST1548,Electronics,Headphones,2,69862.32,139724.64,East
2024-06-27,ORD02332,CUST1489,Books,Textbook,4,997.91,3991.62,North
2024-06-27,ORD04456,CUST2850,Sports,Yoga Mat,1,2268.79,2268.79,West
2024-06-27,ORD04086,CUST1324,Electronics,Smartwatch,3,7385.32,22155.96,East
2024-06-27,ORD04361,CUST2345,Home & Kitchen,Coffee Maker,2,12478.45,24956.9,North
2024-06-28,ORD01521,CUST2395,Electronics,Laptop,1,25663.1,25663.1,East
2024-06-28,ORD01320,CUST1507,Home & Kitchen,Blender,3,10893.57,32680.72,North
2024-06-28,ORD04793,CUST2053,Electronics,Tablet,1,69383.73,69383.73,East
2024-06-28,ORD01622,CUST2341,Home & Kitchen,Air Fryer,2,3611.81,7223.62,South
2024-06-29,ORD01712,CUST1434,Electronics,Smartwatch,2,35414.09,70828.17,North
2024-06-29,ORD00617,CUST2112,Electronics,Headphones,1,74080.21,74080.21,East
2024-06-29,ORD04268,CUST2188,Electronics,Tablet,4,31241.14,124964.58,East
2024-06-30,ORD03727,CUST1553,Books,Textbook,2,1896.94,3793.88,South
2024-06-30,ORD04381,CUST2031,Sports,Tennis Racket,3,4094.32,12282.96,West
